date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2021-01-04,17:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-05,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-06,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-07,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-08,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-11,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-12,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-13,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-14,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-15,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-18,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-19,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-20,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-21,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-22,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-25,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-26,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-27,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-28,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-01-29,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-01,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-02,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-03,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-04,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-05,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-08,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-09,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-10,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-18,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-19,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-22,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-23,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-24,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-25,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-02-26,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-01,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-02,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-03,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-04,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-05,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-08,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-09,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-10,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-11,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-12,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-15,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-16,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-17,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-18,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-19,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-22,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-23,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-24,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-25,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-26,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-29,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-30,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-03-31,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-01,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-02,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-06,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-07,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-08,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-09,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-12,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-13,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-14,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-15,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-16,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-19,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-20,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-21,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-22,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-23,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-26,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-27,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-28,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-29,16:00:00,0,0,1000000,1000000,0,0,stock,VMT
2021-04-30,16:00:00,957086,957086,45712.2,1002798.2,2798.2,854.8,stock,VMT
2021-05-06,16:00:00,960739,960739,45712.2,1006451.2,6451.2,854.8,stock,VMT
2021-05-07,16:00:00,968045,968045,45712.2,1013757.2,13757.2,854.8,stock,VMT
2021-05-10,16:00:00,964392,964392,45712.2,1010104.2,10104.2,854.8,stock,VMT
